DescriptionLabelTextbox,DescriptionTextbox,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,This reports provides an asset manager summary view of a collection of computers.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Header_Table0_ComputerName,Header_Table0_DomainWorkgroup,Header_Table0_SMSSiteName,Header_Table0_TopConsoleUser,Header_Table0_OperatingSystem,Header_Table0_ServicePackLevel,Header_Table0_SerialNumber,Header_Table0_AssetTag,Header_Table0_Manufacturer,Header_Table0_Model,Header_Table0_MemoryKBytes,Header_Table0_ProcessorGHz,Header_Table0_DiskSpaceMB,Header_Table0_FreeDiskSpaceMB,Details_Table0_ComputerName,Details_Table0_DomainWorkgroup,Details_Table0_SMSSiteName,Details_Table0_TopConsoleUser,Details_Table0_OperatingSystem,Details_Table0_ServicePackLevel,Details_Table0_SerialNumber,Details_Table0_AssetTag,Details_Table0_Manufacturer,Details_Table0_Model,Details_Table0_MemoryKBytes,Details_Table0_ProcessorGHz,Details_Table0_DiskSpaceMB,Details_Table0_FreeDiskSpaceMB
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B17325-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG7086J3T,5CG7086J3T,HP,HP EliteBook 840 G3,8266340,2400,243256,135414
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B17438-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG816130F,5CG816130F,HP,HP EliteBook 840 G5,16616660,1700,243256,118149
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B17509-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG9351GSM,5CG9351GSM,HP,HP EliteBook 840 G6,8190240,1600,243256,148800
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B17570-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG93790YQ,5CG93790YQ,HP,HP EliteBook 840 G6,8190248,1600,243256,107725
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B18105-W102,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG6503QNZ,5CG6503QNZ,HP,HP EliteBook 840 G3,7769784,2400,243256,150109
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B18934-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG61915P0,5CG61915P0,HP,HP EliteBook 840 G3,7707744,2400,243278,41102
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B18964-W102,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG0470TNQ,5CG0470TNQ,HP,HP EliteBook 840 G7 Notebook PC,8156520,1600,242456,74143
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B20472-W102,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG93487YD,5CG93487YD,HP,HP EliteBook 840 G6,8190248,1600,242589,136848
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B21791-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG95221RF,5CG95221RF,HP,HP EliteBook 850 G6,7698728,1600,243256,137162
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B22104-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Education,,5CG81729YQ,5CG81729YQ,HP,HP EliteBook 840 G5,8232136,1700,243256,57727
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B22528-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG8033GFH,5CG8033GFH,HP,HP EliteBook 820 G3,7774812,2400,243696,147390
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B22982-W102,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Pro,,5CG925041Y,5CG925041Y,HP,HP EliteBook 840 G5,7732440,1700,243256,154682
Computer Name,Domain/Workgroup,ConfigMgr Site Name,Top Console User,Operating System,Service Pack Level,Serial Number,Asset Tag,Manufacturer,Model,Memory (KBytes),Processor (GHz),Total Disk Space (MB),Free Disk Space (MB),B22991-W101,NPI,Neenah Paper Inc. - SI Datacenter,Unknown,Microsoft Windows 10 Enterprise,,5CG84967R6,5CG84967R6,HP,HP EliteBook 840 G5,8232152,1700,243256,137423
